Brand Name,Rating,MRP,Ram_size,Ram_type,Operating system,Disk_type,Disk_size
6,4.2,36990,4,0,1,1,4
6,4.2,39990,4,0,1,1,4
2,4.3,32990,4,0,1,1,4
5,4.4,49990,4,0,0,1,4
2,4.4,49990,4,0,1,1,4
5,4.2,36990,4,0,1,1,4
3,4.3,38990,4,0,1,1,4
10,4.1,39990,4,0,1,1,4
9,4.4,46990,4,0,0,1,4
2,4.1,44990,1,0,1,1,1
5,4.4,59990,4,0,1,1,4
6,4.2,38705,4,0,1,1,4
2,4.3,32990,4,0,1,1,4
2,4.4,52990,4,0,1,1,4
0,4.3,29990,4,0,1,1,4
2,4.3,196990,1,1,1,1,1
2,4.3,47990,4,0,1,0,4
2,4.3,45990,4,0,1,1,4
7,4.4,47990,4,0,1,1,4
2,4.6,85990,1,0,1,1,1
5,4.2,40990,4,0,1,1,4
6,4.2,35590,4,0,1,1,4
5,4.3,65990,4,0,1,1,4
10,4.1,39990,4,0,1,1,4
6,4.2,39990,4,0,1,1,4
2,4.3,196990,1,1,1,1,1
0,4.3,58990,1,0,1,1,1
9,4.4,46990,4,0,0,1,4
6,4.2,38705,4,0,1,1,4
2,4.6,85990,1,0,1,1,1
0,4.2,24990,4,0,1,1,4
0,4.4,47990,4,0,1,1,4
2,4.4,73990,4,0,1,1,4
6,4.2,53490,4,0,1,1,4
6,4.2,35590,4,0,1,1,4
2,4.9,150990,1,0,1,1,1
6,4.3,51990,4,0,1,1,4
2,4.7,66990,1,0,1,1,1
6,4.2,36990,4,0,1,1,4
2,4.3,194990,1,1,1,1,1
0,4.4,51990,1,0,1,1,1
5,3.9,25990,4,0,1,1,4
0,4.2,35990,4,0,1,1,4
2,4.2,43990,4,0,1,1,4
6,4.3,44990,4,0,1,1,4
6,3.7,64490,4,0,1,1,4
2,4.4,40990,4,0,1,1,4
2,4.4,38990,4,0,1,1,4
6,4.2,36990,4,0,1,1,4
10,4.1,39990,4,0,1,1,4
5,4.2,58990,4,0,1,1,4
9,4.4,59990,4,0,0,1,4
0,4.4,47990,4,0,0,1,4
5,4.2,37499,4,0,1,1,4
2,4.3,196990,1,1,1,1,1
6,4.2,38705,4,0,1,1,4
2,4.1,94990,4,0,0,1,4
2,4.3,32990,4,0,1,1,4
2,4.6,85990,1,0,1,1,1
6,4.2,35590,4,0,1,1,4
2,4.0,23990,3,0,1,1,3
5,4.3,48990,1,0,1,1,1
2,4.6,89990,1,0,1,1,1
2,4.9,150990,1,0,1,1,1
6,4.2,39990,4,0,1,1,4
2,4.5,59990,4,0,1,1,4
3,4.6,70990,1,0,1,1,1
2,4.3,194990,1,1,1,1,1
6,4.3,44990,4,0,1,1,4
5,4.3,46990,4,0,1,1,4
2,4.3,50990,4,0,0,0,4
10,4.1,39990,4,0,1,1,4
6,4.2,38705,4,0,1,1,4
7,4.3,84990,1,0,0,1,1
2,4.3,196990,1,1,1,1,1
2,4.6,85990,1,0,1,1,1
7,4.6,109990,1,0,1,1,1
6,4.2,35590,4,0,1,1,4
2,4.9,150990,1,0,1,1,1
6,4.4,29990,3,0,1,1,3
6,4.2,36990,4,0,1,1,4
6,4.5,73490,4,0,1,1,4
2,4.4,52990,4,0,1,0,4
5,4.2,41890,4,0,1,1,4
3,4.2,30428,4,0,1,1,4
0,4.1,34990,4,0,1,1,4
6,4.4,29990,3,0,1,1,3
6,4.2,36990,4,0,1,1,4
7,4.4,65990,4,0,0,1,4
2,4.1,33490,4,0,1,1,4
5,4.1,60990,1,0,1,1,1
6,4.2,39990,4,0,1,1,4
5,4.3,46990,4,0,1,1,4
2,4.3,59990,1,0,1,1,1
7,4.2,114990,1,0,0,1,1
10,4.1,39990,4,0,1,1,4
2,4.3,119990,1,0,0,1,1
2,4.6,89990,1,4,1,1,1
6,4.2,38705,4,0,1,1,4
7,4.5,79990,4,0,1,1,4
2,4.8,70990,4,0,1,1,4
6,4.3,33900,4,0,1,1,4
2,4.3,196990,1,1,1,1,1
9,4.4,59990,4,0,0,1,4
2,4.6,85990,1,0,1,1,1
10,4.2,31990,4,0,1,1,4
0,4.3,66990,1,0,1,1,1
3,5.0,89081,1,0,1,1,1
6,4.2,36990,4,0,1,1,4
6,4.2,53490,4,0,1,1,4
